name,weight,volume,value
jaume_3.csv,9.979999999999999,24.290000000000003,2696.135010000002
jaume_2.csv,9.98,24.29,2696.135010000002
pablo_gomis_better_ordering.csv,9.979999999999999,24.290000000000003,2696.1350100000013
qrg.csv,9.98,24.289999999999996,2696.1350099999995
jaume_1.csv,9.98,24.289999999999996,2696.1350099999995
ppedemon_sack.csv,9.98,24.289999999999996,2696.1350099999995
pablo_gomis_sack1.csv,9.98,24.289999999999996,2696.1350099999995
jacopo_sack.csv,10.0,24.52,2693.39432
pyari_sack.csv,8.46,24.739999999999995,2170.0314439999997
tobi_sh_001.csv,9.929999999999998,24.480000000000004,2132.821024
my_sack_2.csv,7.69,7.36,485.24
my_sack_3.csv,2.4,4.25,348.24999999999994
my_sack_1.csv,3.3000000000000003,4.6899999999999995,312.62
